country,fifa_version,num_players,avg_overall,max_overall,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,avg_attack_overall,avg_defense_overall
Belarus,18,9,70.77777777777777,76,62.5,59.0,65.25,64.125,61.0,65.125,71.0,70.57142857142857
Belarus,19,4,70.0,76,65.66666666666667,71.66666666666667,66.66666666666667,69.66666666666667,38.0,62.333333333333336,68.5,67.0
Belarus,21,3,62.666666666666664,66,69.33333333333333,58.333333333333336,54.0,64.0,26.0,55.666666666666664,65.5,62.666666666666664
Belarus,22,4,63.75,69,70.25,57.75,56.0,64.75,30.5,61.0,65.0,63.75
Belarus,23,3,63.0,63,66.0,57.0,54.5,65.0,34.0,59.0,63.0,63.0
Belarus,24,4,64.0,66,68.33333333333333,58.666666666666664,56.333333333333336,64.0,34.0,64.0,64.0,64.0
Belgium,15,14,81.78571428571429,88,78.83333333333333,73.83333333333333,74.5,78.83333333333333,56.916666666666664,75.66666666666667,80.6,82.14285714285714
Belgium,16,14,82.64285714285714,89,77.23076923076923,73.0,73.76923076923077,77.0,59.92307692307692,75.92307692307692,82.5,82.14285714285714
Belgium,17,14,84.14285714285714,89,78.07692307692308,73.6923076923077,72.76923076923077,78.23076923076923,54.69230769230769,76.0,84.16666666666667,84.5
Belgium,18,14,85.28571428571429,90,76.61538461538461,74.46153846153847,75.46153846153847,78.92307692307692,59.46153846153846,76.76923076923077,85.71428571428571,84.42857142857143
Belgium,19,14,85.78571428571429,91,75.5,73.91666666666667,77.33333333333333,79.91666666666667,65.0,76.66666666666667,88.2,84.625
Belgium,20,14,85.5,91,75.25,74.16666666666667,77.66666666666667,79.58333333333333,62.916666666666664,74.41666666666667,86.5,85.0
Belgium,21,14,84.5,91,75.0,76.27272727272727,79.54545454545455,81.18181818181819,60.54545454545455,72.9090909090909,85.83333333333333,84.16666666666667
Belgium,22,14,84.35714285714286,91,76.41666666666667,73.16666666666667,78.58333333333333,79.91666666666667,58.5,71.0,85.0,83.71428571428571
Belgium,23,14,83.57142857142857,91,70.5,76.9,79.8,79.9,57.4,70.3,84.16666666666667,82.85714285714286
Belgium,24,14,82.64285714285714,91,69.4,75.6,78.2,78.3,57.5,71.4,83.83333333333333,82.0
Belize,17,1,64.0,64,76.0,58.0,53.0,65.0,34.0,70.0,64.0,64.0
Belize,18,1,64.0,64,76.0,61.0,54.0,63.0,39.0,75.0,64.0,64.0
Belize,19,1,62.0,62,74.0,60.0,53.0,62.0,44.0,71.0,62.0,62.0
Belize,20,1,66.0,66,72.0,62.0,54.0,61.0,44.0,69.0,66.0,66.0
Belize,21,2,63.0,63,68.0,59.5,58.5,63.0,52.5,69.0,63.0,63.0
Belize,22,1,63.0,63,63.0,58.0,59.0,64.0,61.0,70.0,63.0,63.0
Benin,15,14,64.5,77,67.6923076923077,52.92307692307692,55.38461538461539,61.30769230769231,49.15384615384615,70.61538461538461,63.714285714285715,65.28571428571429
Benin,16,14,67.0,77,66.5,56.5,57.333333333333336,62.0,51.333333333333336,70.58333333333333,67.16666666666667,66.875
Benin,17,14,67.21428571428571,74,67.5,53.0,55.916666666666664,60.5,52.75,71.66666666666667,68.75,66.88888888888889
Benin,18,14,68.0,76,66.0,54.166666666666664,54.5,59.166666666666664,51.25,73.16666666666667,69.33333333333333,67.0
Benin,19,13,67.6923076923077,76,63.81818181818182,49.72727272727273,54.63636363636363,57.18181818181818,54.81818181818182,73.54545454545455,67.25,67.88888888888889
Benin,20,14,68.0,76,66.33333333333333,53.916666666666664,56.916666666666664,61.25,52.75,71.25,70.0,67.85714285714286
Benin,21,11,68.27272727272727,74,70.88888888888889,59.111111111111114,60.44444444444444,65.44444444444444,50.55555555555556,69.55555555555556,70.5,68.0
Benin,22,10,67.6,74,70.88888888888889,59.111111111111114,56.666666666666664,65.44444444444444,45.22222222222222,68.44444444444444,66.0,68.25
Benin,23,14,66.64285714285714,73,68.61538461538461,56.92307692307692,57.76923076923077,64.3076923076923,47.92307692307692,68.23076923076923,66.4,66.0
Benin,24,10,67.5,73,64.8,51.2,56.5,62.0,58.3,74.2,67.75,66.57142857142857
Bermuda,15,2,61.5,66,90.0,68.0,54.0,68.0,33.0,59.0,66.0,57.0
Bermuda,16,4,59.25,67,76.66666666666667,58.333333333333336,52.0,63.0,34.333333333333336,55.333333333333336,60.0,57.0
Bermuda,17,5,60.2,71,75.8,54.0,51.8,62.0,37.2,63.2,62.666666666666664,60.2
Bermuda,18,4,63.25,72,83.0,60.0,56.333333333333336,67.33333333333333,35.666666666666664,58.666666666666664,65.0,58.0
Bermuda,19,2,66.5,70,79.5,63.0,59.0,68.0,45.0,64.0,66.5,66.5
Bermuda,20,3,63.666666666666664,70,69.0,49.666666666666664,52.0,56.333333333333336,48.0,66.66666666666667,70.0,59.0
Bermuda,21,1,72.0,72,75.0,72.0,63.0,71.0,44.0,63.0,72.0,72.0
Bermuda,22,1,70.0,70,74.0,70.0,63.0,70.0,44.0,62.0,70.0,70.0
Bermuda,23,1,68.0,68,73.0,68.0,63.0,69.0,43.0,61.0,68.0,68.0
Bermuda,24,1,69.0,69,77.0,68.0,64.0,69.0,44.0,62.0,69.0,69.0
Bhutan,22,1,63.0,63,83.0,60.0,55.0,64.0,36.0,58.0,63.0,63.0
Bolivia,15,14,66.0,71,65.46153846153847,53.30769230769231,54.15384615384615,61.30769230769231,49.23076923076923,59.61538461538461,67.71428571428571,64.875
Bolivia,16,14,67.35714285714286,75,64.64285714285714,52.42857142857143,57.285714285714285,59.42857142857143,52.857142857142854,63.5,68.16666666666667,66.57142857142857
Bolivia,17,14,68.21428571428571,76,63.5,50.833333333333336,56.333333333333336,57.25,56.583333333333336,64.41666666666667,69.0,67.375
Bolivia,18,14,68.07142857142857,75,63.5,51.416666666666664,58.083333333333336,59.333333333333336,55.25,62.5,69.16666666666667,67.0
Bolivia,19,14,68.21428571428571,75,64.25,48.833333333333336,54.833333333333336,60.416666666666664,57.833333333333336,63.916666666666664,68.66666666666667,67.11111111111111
Bolivia,20,14,68.14285714285714,74,66.5,50.666666666666664,58.5,62.5,53.166666666666664,60.666666666666664,68.2,67.125
Bolivia,21,14,68.71428571428571,71,73.66666666666667,49.25,59.75,65.0,54.333333333333336,57.083333333333336,68.66666666666667,68.55555555555556
Bolivia,22,14,68.57142857142857,71,71.08333333333333,52.666666666666664,61.166666666666664,64.58333333333333,50.416666666666664,55.166666666666664,68.8,68.625
Bolivia,23,14,68.85714285714286,73,64.76923076923077,54.38461538461539,59.84615384615385,63.23076923076923,57.61538461538461,66.07692307692308,69.2,68.5
Bolivia,24,14,68.64285714285714,74,68.83333333333333,56.416666666666664,60.333333333333336,65.0,51.166666666666664,62.75,68.6,69.14285714285714
Bosnia and Herzegovina,15,14,76.71428571428571,83,68.53846153846153,63.38461538461539,68.46153846153847,70.38461538461539,58.69230769230769,71.3076923076923,77.75,75.55555555555556
Bosnia and Herzegovina,16,14,76.42857142857143,84,71.38461538461539,58.46153846153846,65.53846153846153,66.53846153846153,65.92307692307692,72.3076923076923,77.66666666666667,75.8
Bosnia and Herzegovina,17,14,77.71428571428571,85,69.6923076923077,63.15384615384615,67.6923076923077,69.07692307692308,57.46153846153846,72.0,76.2,77.57142857142857
Bosnia and Herzegovina,18,14,78.14285714285714,85,67.0,63.53846153846154,67.38461538461539,69.6923076923077,56.92307692307692,72.46153846153847,78.5,77.88888888888889
Bosnia and Herzegovina,19,14,77.85714285714286,86,65.6923076923077,64.84615384615384,66.92307692307692,70.23076923076923,63.15384615384615,73.3076923076923,79.0,77.2
Bosnia and Herzegovina,20,14,77.64285714285714,86,66.23076923076923,68.0,72.38461538461539,73.61538461538461,64.92307692307692,72.84615384615384,81.0,76.55555555555556
Bosnia and Herzegovina,21,14,75.71428571428571,85,67.92307692307692,66.15384615384616,71.38461538461539,73.0,61.53846153846154,72.07692307692308,74.25,75.75
Bosnia and Herzegovina,22,14,75.85714285714286,83,70.15384615384616,62.69230769230769,67.23076923076923,68.84615384615384,57.30769230769231,74.15384615384616,76.125,74.33333333333333
Bosnia and Herzegovina,23,14,75.57142857142857,84,67.6923076923077,65.53846153846153,67.84615384615384,69.15384615384616,55.53846153846154,73.07692307692308,76.375,74.5
Bosnia and Herzegovina,24,14,75.71428571428571,83,69.08333333333333,63.916666666666664,69.83333333333333,70.41666666666667,61.083333333333336,73.91666666666667,77.33333333333333,74.88888888888889
Brazil,15,14,83.0,87,79.76923076923077,68.46153846153847,73.23076923076923,77.84615384615384,63.38461538461539,71.3076923076923,83.16666666666667,82.875
Brazil,16,14,84.07142857142857,88,79.23076923076923,68.76923076923077,73.61538461538461,78.07692307692308,66.07692307692308,71.6923076923077,84.4,83.88888888888889
Brazil,17,14,85.42857142857143,92,80.71428571428571,69.57142857142857,74.92857142857143,79.64285714285714,65.0,68.78571428571429,85.5,85.375
Brazil,18,14,85.57142857142857,92,77.46153846153847,64.76923076923077,75.61538461538461,78.84615384615384,72.92307692307692,75.23076923076923,87.33333333333333,85.0909090909091
Brazil,19,14,86.78571428571429,92,76.75,71.33333333333333,78.0,80.83333333333333,71.16666666666667,76.16666666666667,88.0,86.3
Brazil,20,14,86.64285714285714,92,74.36363636363636,69.72727272727273,78.72727272727273,81.27272727272727,74.18181818181819,77.36363636363636,88.0,86.4
Brazil,21,14,86.21428571428571,91,73.33333333333333,68.75,78.5,80.75,73.91666666666667,75.33333333333333,87.33333333333333,86.1
Brazil,22,14,85.78571428571429,91,70.41666666666667,67.83333333333333,75.5,79.08333333333333,73.75,78.5,85.5,85.9
Brazil,23,14,85.85714285714286,89,76.41666666666667,67.75,74.33333333333333,78.83333333333333,68.0,77.0,84.8,86.44444444444444
Brazil,24,14,86.14285714285714,89,81.58333333333333,69.25,74.41666666666667,79.66666666666667,62.5,75.75,85.83333333333333,86.375
Brunei Darussalam,18,1,55.0,55,75.0,41.0,46.0,60.0,21.0,54.0,55.0,55.0
Bulgaria,15,14,71.14285714285714,81,71.66666666666667,65.66666666666667,67.5,70.5,50.75,66.16666666666667,72.25,70.125
Bulgaria,16,14,71.92857142857143,81,70.0,57.07692307692308,64.38461538461539,65.92307692307692,59.15384615384615,69.84615384615384,74.33333333333333,70.77777777777777
Bulgaria,17,14,71.64285714285714,79,69.23076923076923,57.0,63.92307692307692,65.15384615384616,60.46153846153846,69.07692307692308,73.0,71.0
Bulgaria,18,14,70.92857142857143,77,68.76923076923077,60.46153846153846,61.53846153846154,66.07692307692308,49.0,69.6923076923077,71.125,70.8
Bulgaria,19,14,70.57142857142857,76,69.25,63.083333333333336,63.583333333333336,68.0,49.833333333333336,69.58333333333333,70.83333333333333,70.42857142857143
Bulgaria,20,14,68.0,76,67.18181818181819,57.81818181818182,62.09090909090909,64.63636363636364,53.72727272727273,65.81818181818181,68.4,67.77777777777777
Bulgaria,21,14,68.0,73,70.3076923076923,54.46153846153846,61.76923076923077,64.92307692307692,55.38461538461539,65.23076923076923,69.5,67.4
Bulgaria,22,14,65.57142857142857,70,69.72727272727273,46.54545454545455,53.45454545454545,58.45454545454545,56.0,68.72727272727273,65.33333333333333,65.66666666666667
Bulgaria,23,14,67.14285714285714,70,64.07142857142857,50.57142857142857,57.214285714285715,59.857142857142854,56.07142857142857,68.21428571428571,67.5,67.1
Bulgaria,24,14,67.85714285714286,76,68.57142857142857,54.5,60.0,64.0,53.92857142857143,64.35714285714286,68.14285714285714,67.375
Burkina Faso,15,14,68.85714285714286,75,80.35714285714286,55.857142857142854,56.357142857142854,66.21428571428571,52.357142857142854,68.0,69.28571428571429,68.66666666666667
Burkina Faso,16,14,70.14285714285714,76,77.5,57.142857142857146,60.0,66.42857142857143,55.642857142857146,69.78571428571429,71.5,69.33333333333333
Burkina Faso,17,14,68.14285714285714,78,74.0,55.285714285714285,60.285714285714285,65.14285714285714,51.214285714285715,67.21428571428571,69.2,71.33333333333333
Burkina Faso,18,14,68.64285714285714,78,76.23076923076923,57.30769230769231,57.0,67.6923076923077,46.76923076923077,66.53846153846153,67.85714285714286,69.42857142857143
Burkina Faso,19,14,69.5,79,78.46153846153847,58.76923076923077,59.38461538461539,69.0,46.30769230769231,66.53846153846153,69.375,70.8
Burkina Faso,20,14,68.35714285714286,78,75.3076923076923,55.07692307692308,56.38461538461539,66.3076923076923,44.69230769230769,66.23076923076923,68.0,68.83333333333333
